time,mjd,band,mag
14.6655,57997.194,g,24.619
15.4471,57997.9757,g,24.742
15.6116,57998.1401,g,24.767
16.4462,57998.9747,g,24.892
16.5576,57999.0862,g,24.909
17.5037,58000.0322,g,25.044
18.4498,58000.9783,g,25.175
0.4745,57983.0031,r,17.589
0.4752,57983.0037,r,17.588
0.6387,57983.1672,r,17.345
0.9809,57983.5094,r,17.23
1.043,57983.5715,r,17.251
1.4206,57983.9491,r,17.588
1.4478,57983.9764,r,17.624
1.4485,57983.977,r,17.625
1.4492,57983.9777,r,17.626
1.4499,57983.9784,r,17.626
1.4506,57983.9791,r,17.627
1.4512,57983.9798,r,17.628
1.4717,57984.0002,r,17.656
2.3667,57984.8952,r,18.666
2.4392,57984.9678,r,18.713
2.4461,57984.9747,r,18.718
2.4472,57984.9757,r,18.718
2.4479,57984.9764,r,18.719
2.4486,57984.9771,r,18.719
2.4492,57984.9778,r,18.72
2.4515,57984.98,r,18.721
3.3127,57985.8413,r,19.184
3.4541,57985.9826,r,19.253
3.4551,57985.9836,r,19.253
3.4556,57985.9841,r,19.253
3.4558,57985.9843,r,19.253
3.4564,57985.985,r,19.254
3.4571,57985.9856,r,19.254
4.2588,57986.7873,r,19.651
4.4449,57986.9734,r,19.749
4.4467,57986.9752,r,19.75
4.4491,57986.9777,r,19.751
4.4516,57986.9801,r,19.752
4.4552,57986.9837,r,19.754
4.4624,57986.9909,r,19.758
5.2049,57987.7334,r,20.158
5.446,57987.9745,r,20.295
5.4484,57987.977,r,20.296
5.4508,57987.9794,r,20.297
5.4545,57987.983,r,20.3
6.1509,57988.6795,r,20.702
6.4458,57988.9743,r,20.875
7.097,57989.6255,r,21.245
7.4376,57989.9661,r,21.432
7.4448,57989.9734,r,21.436
7.4509,57989.9794,r,21.439
7.4533,57989.9818,r,21.44
7.4581,57989.9866,r,21.443
8.0431,57990.5716,r,21.735
8.4446,57990.9732,r,21.916
8.4543,57990.9828,r,21.92
8.4591,57990.9877,r,21.922
8.4688,57990.9973,r,21.926
8.9891,57991.5176,r,22.131
9.4457,57991.9742,r,22.287
9.4492,57991.9777,r,22.288
9.4659,57991.9944,r,22.294
9.4712,57991.9997,r,22.295
9.7534,57992.2819,r,22.381
9.768,57992.2965,r,22.386
9.8193,57992.3478,r,22.401
9.905,57992.4335,r,22.425
9.9352,57992.4637,r,22.434
9.9695,57992.498,r,22.443
10.0321,57992.5606,r,22.461
10.0447,57992.5732,r,22.464
10.4462,57992.9747,r,22.566
10.4494,57992.9779,r,22.567
10.4528,57992.9813,r,22.568
10.4583,57992.9868,r,22.57
10.4715,57993,r,22.573
10.8813,57993.4098,r,22.667
11.4548,57993.9833,r,22.789
11.8273,57994.3558,r,22.863
12.4469,57994.9755,r,22.982
12.7734,57995.3019,r,23.043
13.4412,57995.9697,r,23.162
13.7195,57996.248,r,23.21
14.4459,57996.9744,r,23.332
14.6655,57997.194,r,23.368
15.4471,57997.9757,r,23.491
15.6116,57998.1401,r,23.517
16.4462,57998.9747,r,23.642
16.5576,57999.0862,r,23.659
17.5037,58000.0322,r,23.794
18.4498,58000.9783,r,23.925
